Transaction_ID,Customer_Name,Date,Amount,Currency,Merchant,Category,Payment_Method,Status,Country
T100041,Bob,2023-03-31,54.59,,Starbucks,Travel,Wallet,Cancelled,India
T100042,David,2023-04-01,570.17,EUR,Walmart,Shopping,Upi,Cancelled,Usa
T100043,Alice,2023-12-15,901.34,GBP,Netflix,Bills,Debit Card,Pending,Uk
T100044,Grace,2023-09-16,891.54,EUR,Paytm,Entertainment,Bank Transfer,Failed,Germany
T100046,Ivan,2023-07-16,376.74,INR,Amazon,Food,Debit Card,Completed,Australia
T100047,Frank,2024-07-21,1628.99,,Apple,Groceries,Wallet,Failed,France
T100048,Grace,2024-02-25,1155.42,,Google,Utilities,Cash,Pending,Canada
T100049,Grace,2023-04-02,976.85,EUR,Paytm,Transport,Debit Card,Cancelled,Germany
T100050,Heidi,2023-12-10,942.89,,Starbucks,Food,Bank Transfer,Success,Australia
T100051,Grace,2023-05-14,607.74,INR,Flipkart,Shopping,Wallet,Failed,India
T100052,Charlie,2024-01-06,1035.53,INR,Google,Utilities,Bank Transfer,Success,Australia
T100053,Alice,2023-04-26,453.58,GBP,Flipkart,Transport,Bank Transfer,Failed,India
T100054,Alice,2023-07-05,966.43,GBP,Apple,Food,Bank Transfer,Pending,India
T100055,Frank,2024-01-28,607.79,GBP,Paytm,Food,Cash,Failed,India
T100056,Eve,2023-03-01,1002.61,,Zomato,Bills,Cash,Success,France
T100057,Ivan,2024-03-07,1101.87,GBP,Apple,Groceries,Cash,Cancelled,Germany
T100058,David,2023-09-13,689.52,USD,Uber,Bills,Wallet,Pending,Uk
T100059,Ivan,2024-03-05,1695.69,GBP,Apple,Bills,Credit Card,Cancelled,Germany
T100060,David,2024-04-06,782.01,INR,Starbucks,Transport,Debit Card,Cancelled,Canada
T100061,Grace,2024-06-22,310.38,EUR,Apple,Entertainment,Upi,Failed,Uk
T100062,Ivan,2024-07-23,203.28,USD,Amazon,Travel,Cash,Completed,India
T100063,Grace,2023-08-29,1247.24,USD,Paytm,Transport,Credit Card,Completed,Usa
T100064,Judy,2023-07-01,1833.44,GBP,Walmart,Food,Upi,Success,Uk
T100065,Judy,2023-12-24,1325.79,USD,Netflix,Utilities,Upi,Success,India
T100066,Bob,2024-08-16,390.63,GBP,Walmart,Utilities,Credit Card,Pending,Japan
T100067,Ivan,2023-11-03,847.15,EUR,Zomato,Food,Upi,Success,Uk
T100068,Frank,2023-12-17,314.22,INR,Zomato,Food,Upi,Failed,India
T100070,Bob,2024-04-15,339.89,GBP,Apple,Transport,Cash,Failed,Australia
T100071,Bob,2023-05-07,235.22,INR,Zomato,Travel,Cash,Cancelled,Germany
T100072,Ivan,2023-09-02,87.0,GBP,Google,Shopping,Cash,Pending,France
T100073,Judy,2024-04-11,1290.37,GBP,Netflix,Shopping,Upi,Cancelled,Usa
T100074,Charlie,2023-12-05,39.72,INR,Starbucks,Shopping,Debit Card,Pending,Australia
T100075,Frank,2023-04-23,1386.5,USD,Zomato,Insurance,Bank Transfer,Completed,Canada
T100076,Ivan,2024-06-23,1619.56,USD,Amazon,Food,Wallet,Pending,India
T100077,Frank,2023-06-23,1388.37,INR,Apple,Utilities,Upi,Failed,Usa
T100078,Charlie,2023-02-04,1440.0,,Apple,Bills,Wallet,Failed,India
T100079,Frank,2023-10-03,897.66,USD,Zomato,Food,Credit Card,Success,Australia
T100080,Alice,2023-12-23,720.07,,Paytm,Insurance,Upi,Success,Canada
T100081,Charlie,2024-02-29,263.38,GBP,Apple,Travel,Credit Card,Completed,Australia
T100082,Judy,2023-10-21,1192.71,INR,Google,Utilities,Cash,Failed,Canada
T100083,Eve,2023-11-15,1394.61,,Google,Transport,Bank Transfer,Pending,India
T100084,Frank,2024-04-25,1211.55,GBP,Uber,Shopping,Upi,Pending,Australia
T100085,Grace,2024-08-20,174.09,INR,Netflix,Transport,Credit Card,Failed,Germany
T100086,David,2024-05-25,1238.56,,Walmart,Insurance,Bank Transfer,Completed,Australia
T100087,David,2023-08-20,1500.91,EUR,Amazon,Utilities,Wallet,Failed,Australia
T100088,Charlie,2024-03-07,1620.77,EUR,Walmart,Insurance,Cash,Failed,Australia
T100089,David,2024-06-05,1453.0,,Flipkart,Food,Cash,Success,Uk
T100090,Ivan,2024-05-29,973.52,USD,Walmart,Transport,Upi,Completed,Usa
T100091,Eve,2023-06-24,190.16,GBP,Apple,Food,Upi,Completed,Australia
T100092,Charlie,2023-11-14,347.63,GBP,Apple,Entertainment,Credit Card,Cancelled,Canada
T100093,Charlie,2024-07-04,1393.51,INR,Flipkart,Transport,Credit Card,Pending,Uk
T100094,Heidi,2024-01-03,1219.72,INR,Uber,Transport,Wallet,Cancelled,India
T100096,Frank,2023-09-12,920.85,GBP,Google,Insurance,Bank Transfer,Failed,Uk
T100097,Alice,2023-02-05,756.72,USD,Paytm,Entertainment,Cash,Cancelled,Australia
T100098,Judy,2023-05-07,1379.37,GBP,Starbucks,Utilities,Upi,Cancelled,Uk
T100099,Frank,2023-02-24,1861.26,USD,Paytm,Entertainment,Cash,Success,Usa
T100100,Charlie,2023-01-11,1153.95,EUR,Netflix,Bills,Upi,Completed,Australia
T100101,Heidi,2024-07-15,1543.73,GBP,Flipkart,Groceries,Wallet,Success,Usa
T100102,Frank,2023-04-08,362.86,,Starbucks,Insurance,Upi,Completed,Usa
T100103,Eve,2023-12-07,232.87,INR,Amazon,Shopping,Bank Transfer,Completed,Usa
T100104,Alice,2023-05-02,1248.75,GBP,Paytm,Insurance,Upi,Success,Usa
T100105,Heidi,2024-08-05,17.66,EUR,Apple,Transport,Cash,Success,Usa
T100106,Frank,2023-02-04,983.46,USD,Uber,Food,Wallet,Cancelled,Australia
T100107,Grace,2023-07-06,790.1,USD,Zomato,Food,Upi,Success,Germany
T100108,Heidi,2024-06-24,1830.45,,Uber,Shopping,Bank Transfer,Failed,Usa
T100109,Eve,2023-09-22,1471.11,GBP,Paytm,Food,Cash,Cancelled,India
T100110,Frank,2023-09-26,335.26,EUR,Walmart,Insurance,Wallet,Failed,Canada
T100111,Judy,2023-10-01,1549.53,GBP,Amazon,Shopping,Credit Card,Pending,Australia
T100112,Grace,2023-03-02,1694.06,EUR,Flipkart,Food,Wallet,Completed,Uk
T100113,Frank,2023-09-13,1891.98,USD,Paytm,Utilities,Debit Card,Completed,Uk
T100114,Alice,2023-09-16,280.51,USD,Amazon,Utilities,Wallet,Failed,Canada
T100116,Eve,2024-05-15,446.09,USD,Apple,Travel,Credit Card,Cancelled,Usa
T100117,Bob,2023-07-01,1540.38,,Flipkart,Food,Cash,Failed,Germany
T100118,Charlie,2023-12-05,1028.62,USD,Netflix,Entertainment,Debit Card,Completed,Canada
T100119,David,2023-01-08,1010.42,,Walmart,Insurance,Credit Card,Completed,Canada
T100120,Charlie,2023-08-30,1392.16,INR,Netflix,Insurance,Debit Card,Completed,Uk
T100121,Heidi,2023-11-11,961.88,,Netflix,Utilities,Credit Card,Pending,France
T100122,Heidi,2024-02-05,745.83,USD,Google,Transport,Credit Card,Failed,Usa
T100123,Eve,2023-04-04,528.25,INR,Netflix,Utilities,Credit Card,Failed,Japan
T100124,Alice,2023-10-18,1084.83,,Walmart,Food,Bank Transfer,Success,Usa
T100125,Alice,2024-08-03,1405.43,USD,Zomato,Shopping,Debit Card,Cancelled,Canada
T100126,Grace,2024-02-02,1144.43,GBP,Amazon,Food,Credit Card,Pending,Uk
T100127,Judy,2023-02-23,1299.81,INR,Walmart,Shopping,Debit Card,Failed,Australia
T100129,Grace,2024-02-20,838.37,,Apple,Transport,Debit Card,Success,Australia
T100130,Heidi,2023-09-24,1464.12,EUR,Google,Insurance,Bank Transfer,Completed,Uk
T100131,Bob,2023-07-22,1531.18,INR,Uber,Groceries,Upi,Cancelled,Australia
T100132,Eve,2024-01-16,1057.01,EUR,Uber,Food,Cash,Failed,Japan
T100133,Charlie,2023-11-20,226.24,,Starbucks,Utilities,Debit Card,Pending,Japan
T100134,Heidi,2023-09-02,1955.54,,Walmart,Travel,Upi,Cancelled,Australia
T100135,Alice,2023-02-19,976.95,,Google,Travel,Cash,Completed,France
T100136,Ivan,2023-08-16,1782.04,GBP,Paytm,Transport,Upi,Success,Usa
T100137,Frank,2024-03-25,728.9,GBP,Starbucks,Insurance,Credit Card,Completed,Australia
T100138,Judy,2023-05-12,1902.31,USD,Flipkart,Utilities,Upi,Failed,Canada
T100139,Heidi,2024-07-18,1256.75,GBP,Starbucks,Insurance,Upi,Completed,Uk
T100140,Alice,2024-06-09,39.71,,Netflix,Transport,Cash,Pending,Usa
T100141,Grace,2023-07-04,1226.95,GBP,Starbucks,Shopping,Bank Transfer,Cancelled,Japan
T100142,Frank,2024-03-27,949.62,GBP,Uber,Shopping,Debit Card,Pending,France
T100143,Judy,2024-01-27,1820.81,GBP,Amazon,Bills,Cash,Success,India
T100144,Judy,2023-05-28,1796.75,USD,Apple,Transport,Cash,Failed,India
T100145,Charlie,2024-06-08,1503.61,,Zomato,Bills,Wallet,Completed,France
T100146,Ivan,2023-09-14,1558.99,,Amazon,Travel,Bank Transfer,Failed,Japan
T100147,Bob,2024-06-29,1971.25,EUR,Starbucks,Bills,Debit Card,Failed,Germany
T100148,Ivan,2024-03-20,197.27,GBP,Apple,Travel,Credit Card,Cancelled,Australia
T100149,Heidi,2023-06-01,1318.18,GBP,Uber,Bills,Wallet,Completed,India
T100150,Eve,2024-04-12,1376.32,GBP,Walmart,Entertainment,Cash,Pending,India
T100151,Frank,2023-10-01,1200.15,USD,Walmart,Groceries,Bank Transfer,Pending,Usa
T100152,Frank,2024-07-30,717.48,,Flipkart,Bills,Debit Card,Failed,Germany
T100153,Grace,2024-08-20,122.51,INR,Uber,Groceries,Cash,Failed,Canada
T100154,Alice,2023-06-07,217.53,,Paytm,Food,Bank Transfer,Failed,Uk
T100155,Charlie,2023-01-14,1424.85,,Starbucks,Food,Bank Transfer,Pending,Canada
T100156,Judy,2024-01-05,1265.54,,Walmart,Bills,Credit Card,Success,Germany
T100157,Judy,2023-01-26,1308.85,USD,Google,Entertainment,Cash,Failed,Germany
T100159,Frank,2023-09-04,29.29,,Starbucks,Shopping,Bank Transfer,Cancelled,Australia
T100160,Heidi,2023-12-19,730.0,GBP,Walmart,Food,Cash,Failed,Usa
T100161,David,2024-07-16,1360.25,INR,Amazon,Shopping,Upi,Failed,France
T100162,Charlie,2023-07-13,675.76,EUR,Apple,Shopping,Upi,Pending,Germany
T100163,Grace,2024-03-11,390.28,EUR,Walmart,Entertainment,Cash,Pending,Canada
T100164,Heidi,2024-02-11,1936.96,INR,Walmart,Bills,Debit Card,Cancelled,Australia
T100165,Charlie,2023-10-30,262.03,INR,Google,Entertainment,Debit Card,Completed,Germany
T100166,Eve,2023-04-14,1696.68,INR,Google,Food,Credit Card,Cancelled,Usa
T100167,Bob,2023-08-04,1591.36,EUR,Uber,Groceries,Upi,Failed,Usa
T100168,Eve,2023-09-29,1285.62,GBP,Amazon,Utilities,Upi,Success,Uk
T100169,Judy,2023-01-07,1295.39,EUR,Paytm,Groceries,Wallet,Pending,Australia
T100171,Frank,2023-08-28,1941.71,,Paytm,Travel,Debit Card,Failed,India
T100172,Alice,2024-07-30,342.09,INR,Netflix,Insurance,Debit Card,Cancelled,Germany
T100173,Ivan,2024-04-02,326.95,GBP,Google,Entertainment,Wallet,Pending,Canada
T100175,Judy,2024-08-23,389.55,USD,Netflix,Entertainment,Debit Card,Failed,India
T100176,Grace,2023-08-12,11.34,USD,Uber,Shopping,Cash,Failed,Usa
T100177,Ivan,2024-01-14,1875.97,USD,Walmart,Transport,Cash,Completed,Canada
T100178,Ivan,2023-06-14,1704.54,USD,Apple,Groceries,Upi,Cancelled,Canada
T100179,Judy,2023-01-08,134.55,INR,Apple,Insurance,Bank Transfer,Failed,Australia
T100180,Judy,2023-08-27,457.99,USD,Paytm,Entertainment,Wallet,Failed,Germany
T100181,Ivan,2024-08-09,1298.29,,Flipkart,Shopping,Bank Transfer,Success,Canada
T100182,David,2023-01-25,1281.96,USD,Uber,Travel,Wallet,Success,France
T100183,Eve,2024-04-17,1938.79,USD,Uber,Entertainment,Wallet,Failed,Germany
T100184,Alice,2023-08-05,991.31,USD,Netflix,Groceries,Debit Card,Pending,Canada
T100185,Heidi,2023-09-02,1675.84,GBP,Walmart,Entertainment,Bank Transfer,Failed,Usa
T100186,Grace,2023-01-29,1487.99,INR,Apple,Groceries,Debit Card,Cancelled,Canada
T100187,Judy,2024-04-13,1427.79,INR,Apple,Bills,Debit Card,Success,Usa
T100188,Heidi,2024-01-09,1606.48,,Netflix,Insurance,Credit Card,Failed,India
T100189,Heidi,2023-09-07,1852.75,INR,Apple,Entertainment,Upi,Pending,Australia
T100190,Bob,2023-07-15,934.34,GBP,Walmart,Entertainment,Upi,Cancelled,Japan
T100191,Heidi,2024-03-27,778.13,,Flipkart,Food,Cash,Cancelled,Canada
T100192,Grace,2024-05-19,675.19,EUR,Starbucks,Entertainment,Debit Card,Completed,India
T100193,Eve,2023-06-02,1427.17,GBP,Apple,Food,Bank Transfer,Success,Uk
T100194,Alice,2023-09-06,846.07,INR,Walmart,Utilities,Credit Card,Pending,France
T100195,Judy,2024-07-20,1964.48,USD,Netflix,Insurance,Wallet,Pending,Canada
T100196,Judy,2024-01-29,1557.61,,Amazon,Shopping,Wallet,Completed,Canada
T100197,Frank,2023-07-02,1087.97,EUR,Walmart,Transport,Bank Transfer,Failed,Uk
T100198,Ivan,2024-08-23,1577.43,USD,Starbucks,Groceries,Credit Card,Cancelled,Canada
T100199,Heidi,2023-08-03,1235.65,,Google,Travel,Bank Transfer,Success,France
